Country Name,Country Code,Series Name,Series Code,2016 [Unemployment|2016],2017 [Unemployment|2017],2018 [Unemployment|2018],2019 [Unemployment|2019],2020 [Unemployment|2020],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Denmark,DNK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6,6,5,5,6,5728010,5764980,5793636,5814422,5831404
Djibouti,DJI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11,11,11,11,12,929117,944100,958923,973557,988002
Dominica,DMA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,71307,71460,71626,71808,71991
Dominican Republic,DOM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,6,6,6,9,10397738,10513111,10627147,10738957,10847904
Ecuador,ECU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,4,4,4,6,16491116,16785356,17084359,17373657,17643060
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12,12,10,10,10,94447071,96442590,98423602,100388076,102334403
El Salvador,SLV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,4,4,4,7,6356137,6388124,6420740,6453550,6486201
Equatorial Guinea,GNQ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8,8,8,8,9,1215181,1262008,1308966,1355982,1402985
Eritrea,ERI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,7,6,6,7,0,0,0,0,0
Estonia,EST,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,6,5,4,6,1315790,1317384,1321977,1326898,1331057
Eswatini,SWZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,23,23,22,22,23,103603461,106399926,109224410,112078727,114963583
Ethiopia,ETH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2,2,2,2,3,48173,48326,48497,48677,48865
Faroe Islands,FRO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,872406,877460,883490,889955,896444
Fiji,FJI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,4,4,4,5,5495303,5508214,5515525,5521606,5530719
Finland,FIN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9,9,7,7,8,66724104,66918020,67101930,67248926,67391582
France,FRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10,9,9,8,9,274576,276108,277673,279285,280904
French Polynesia,PYF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12,12,13,13,14,2007882,2064812,2119275,2172578,2225728
Gabon,GAB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20,20,20,20,20,2149134,2213900,2280092,2347696,2416664
"Gambia, The",GMB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9,9,9,9,10,3727505,3728004,3726549,3720161,3714000
Georgia,GEO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17,14,13,12,12,82348669,82657002,82905782,83092962,83240525
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,4,3,3,4,28481947,29121464,29767108,30417858,31072945
Ghana,GHA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,4,4,4,5,33738,33723,33715,33706,33691
Gibraltar,GIB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,10775971,10754679,10732882,10721582,10715549
Greece,GRC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,24,21,19,17,17,56186,56172,56023,56225,56367
Greenland,GRL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,110263,110874,111449,112002,112519
Grenada,GRD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,162948,164281,165770,167295,168783
Guam,GUM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,5,6,6,8,15827690,16087418,16346950,16604026,16858333
Guatemala,GTM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,2,2,2,5,11738434,12067516,12414292,12771246,13132792
Guinea,GIN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,4,4,4,4,1782434,1828146,1874304,1920917,1967998
Guinea-Bissau,GNB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,3,3,3,771363,775218,779007,782775,786559
Guyana,GUY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14,14,14,14,16,10839976,10982367,11123183,11263079,11402533
Haiti,HTI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14,14,14,13,15,9270794,9429016,9587523,9746115,9904608
Honduras,HND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,6,6,6,9,7336600,7391700,7451000,7507400,7481800
"Hong Kong SAR, China",HKG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,3,3,6,9814023,9787966,9775564,9771141,9749763
Hungary,HUN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,4,4,3,4,335439,343400,352721,360563,366425
Iceland,ISL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,3,4,5,1324517250,1338676779,1352642283,1366417756,1380004385
India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6,5,5,5,7,261556386,264650969,267670549,270625567,273523621
Indonesia,IDN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,4,4,4,4,79563991,80673888,81800204,82913893,83992953
"Iran, Islamic Rep.",IRN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12,12,12,11,11,36610632,37552789,38433604,39309789,40222503
Iraq,IRQ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11,13,13,13,14,4755335,4807388,4867316,4934340,4994724
Ireland,IRL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8,7,6,5,6,83296,83610,84073,84589,85032
Isle of Man,IMN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,8546000,8713300,8882800,9054000,9216900
Israel,ISR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,4,4,4,5,60627498,60536709,60421760,59729081,59554023
Italy,ITA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12,11,11,10,9,2906242,2920848,2934853,2948277,2961161
Jamaica,JAM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13,12,9,8,8,126994511,126785797,126529100,126264931,125836021
Japan,JPN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,2,2,3,9554286,9785840,9965322,10101697,10203140
Jordan,JOR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,15,16,16,17,19,17794055,18037776,18276452,18513673,18754440
Kazakhstan,KAZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,5,5,5,6,49051531,50221146,51392570,52573967,53771300
Kenya,KEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,3,3,3,112529,114153,115842,117608,119446
Kiribati,KIR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,25307665,25429816,25549606,25666158,25778815
"Korea, Dem. People's Rep.",PRK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,3,3,3,51217803,51361911,51606633,51709098,51780579
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,4,4,4,4,1777557,1791003,1797085,1788878,1775378
Kosovo,XKX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,3956862,4056102,4137314,4207077,4270563
Kuwait,KWT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2,2,2,2,7,6079500,6198200,6322800,6456200,6591600
Kyrgyz Republic,KGZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,7,7,7,8,6845848,6953031,7061498,7169456,7275556
Lao PDR,LAO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1,1,1,1,1,1959537,1942248,1927174,1913822,1901548
Latvia,LVA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10,9,7,6,8,6714281,6819373,6859408,6855709,6825442
Lebanon,LBN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6,6,6,6,7,2075041,2091532,2108327,2125267,2142252
Lesotho,LSO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,24,24,24,24,25,4586788,4702224,4818976,4937374,5057677
Liberia,LBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,3,3,3,6492160,6580723,6678565,6777453,6871287
Libya,LBY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19,19,18,18,19,37655,37805,37918,38020,38137
Liechtenstein,LIE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,2868231,2828403,2801543,2794137,2794700
Lithuania,LTU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8,7,6,6,8,582014,596336,607950,620001,632275
Luxembourg,LUX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6,6,6,6,7,612824,622578,631633,640446,649342
"Macao SAR, China",MAC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2,2,2,2,3,2080746,2081996,2082957,2083458,2083380
Madagascar,MDG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2,2,2,2,2,24894370,25570511,26262313,26969306,27691019
Malawi,MWI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6,6,6,6,6,17205253,17670193,18143215,18628749,19129955
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,3,3,5,30684652,31104655,31528033,31949789,32365998
Maldives,MDV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6,6,6,6,7,475505,496398,515704,530957,540542
Mali,MLI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8,7,7,7,8,17965448,18512429,19077755,19658023,20250834
Malta,MLT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,4,4,3,4,455356,467999,484630,504062,525285
Marshall Islands,MHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,57723,58053,58412,58791,59194
Mauritania,MRT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10,10,10,10,11,4163532,4282582,4403312,4525698,4649660
Mauritius,MUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,7,6,6,7,1263473,1264613,1265303,1265711,1265740
Mexico,MEX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,3,3,3,5,123333379,124777326,126190782,127575529,128932753
"Micronesia, Fed. Sts.",FSM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,110215,111461,112640,113811,115021
Moldova,MDA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,4,4,5,5,2802170,2755158,2708214,2663251,2617820
Monaco,MCO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,38070,38392,38682,38967,39244
Mongolia,MNG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,6,5,5,4,3056358,3113788,3170214,3225166,3278292
Montenegro,MNE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,18,16,15,15,16,622303,622373,622227,622028,621718
Morocco,MAR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9,9,9,9,10,35126274,35581257,36029089,36471766,36910558
Mozambique,MOZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,3,3,3,27829930,28649007,29496009,30366043,31255435
Myanmar,MMR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1,2,1,1,2,53045199,53382521,53708318,54045422,54409794
Namibia,NAM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,23,22,20,20,20,2358044,2402623,2448300,2494524,2540916
Nauru,NRU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,10474,10577,10678,10764,10834
Nepal,NPL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,3,3,4,27263430,27632682,28095712,28608715,29136808
Netherlands,NLD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6,5,4,3,4,17030314,17131296,17231624,17344874,17441139
New Caledonia,NCL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,15,15,15,15,17,269350,270000,270650,271300,271960
New Zealand,NZL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,5,4,4,5,4714100,4813600,4900600,4979300,5084300
Nicaragua,NIC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,3,5,5,6,6303970,6384843,6465502,6545503,6624554
Niger,NER,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1,0,0,0,1,20788789,21602388,22442831,23310719,24206636
Nigeria,NGA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,8,8,9,9,185960244,190873247,195874685,200963603,206139587
North Macedonia,MKD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,24,22,21,17,18,56187,56553,56889,57213,57557
Northern Mariana Islands,MNP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,5234519,5276968,5311916,5347896,5379475
Norway,NOR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,4,4,4,5,4479217,4665926,4829476,4974992,5106622
Oman,OMN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,2,2,2,5,203631356,207906210,212228288,216565317,220892331
Pakistan,PAK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,4,4,4,5,17718,17809,17911,18001,18092
Palau,PLW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,4037073,4106764,4176868,4246440,4314768
Panama,PAN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,4,4,5,10,8271766,8438038,8606324,8776119,8947027
Papua New Guinea,PNG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,2,2,2,3,6777878,6867058,6956069,7044639,7132530
Paraguay,PRY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,5,6,7,8,30926036,31444299,31989265,32510462,32971846
Peru,PER,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,3,3,6,103663812,105172921,106651394,108116622,109581085
Philippines,PHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,2,2,3,37970087,37974826,37974750,37965475,37950802
Poland,POL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6,5,4,3,4,10325452,10300300,10283822,10286263,10305564
Portugal,PRT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11,9,7,6,7,3406672,3325286,3193354,3193694,3194034
Puerto Rico,PRI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12,11,9,8,11,2654379,2724727,2781682,2832071,2881060
Qatar,QAT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,3,19702267,19588715,19473970,19371648,19286123
Romania,ROU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6,5,4,4,5,144342397,144496739,144477859,144406261,144104080
Russian Federation,RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6,5,5,5,6,11668829,11980960,12301969,12626938,12952209
Rwanda,RWA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1,1,1,1,1,194540,195358,196128,197093,198410
Samoa,WSM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9,8,8,8,9,33503,33671,33784,33864,33938
San Marino,SMR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,203221,207086,211032,215048,219161
